,claim nr,claim,most sim ngram,most sim paragraph,predicted stance,actual stance
201,6100,president of argentina <unknown> jewish boy to stop him turning into <unknown>   ,,president <unknown> <unknown> de <unknown> adopted <unknown> <unknown> as her <unknown> due to an argentine,agree,agree
202,6117,a justin bieber <unknown> just saved a mans life who was being attacked by a,after his justin bieber <unknown>,fisherman <unknown> <unknown> is lucky to be alive after his justin bieber <unknown> went off,agree,agree
203,6144,canadian cat <unknown> to undergo gender <unknown> surgery after it is revealed to be a,,id like for it to be a female but it really doesnt matter owner <unknown>,agree,agree
204,6145,hong <unknown> protesters go ferguson style hands up dont shoot     ,,              ,agree,agree
205,6208,teen <unknown> <unknown> wakes up during brain surgery asks how its going   ,went through this serious procedure,<unknown> <unknown> <number> went through this serious procedure at central clinical hospital in <unknown> <unknown>,agree,agree
206,6224,<unknown> girl <unknown> acid on boyfriends penis after he leaked their sex tape  ,,according to <unknown> the pair had been dating since december and while they agreed to,agree,agree
207,6286,a justin bieber <unknown> just saved a mans life who was being attacked by a,fishing in northern russia was,a man fishing in northern russia was attacked by a bear but the bear fled,agree,agree
208,6326,<unknown> have not accidentally cut down worlds oldest tree      ,,the incident is said to have taken place in the <unknown> indigenous reserve on the,agree,agree
209,6334,pregnant ferguson woman loses her eye after police shoot her car with bean bag during,,scroll down for video           ,agree,agree
210,6376,lunch theft <unknown> ransom note from sandwich <unknown>       ,got involved in the situation,<unknown> then got involved in the situation and told the alleged <unknown> to give back,agree,agree
211,6386,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,,the president of argentina <unknown> <unknown> de <unknown> has adopted a jewish <unknown> to prevent,agree,agree
212,6392,justin bieber <unknown> saved a russian fisherman during a bear attack    ,after his justin bieber <unknown>,fisherman <unknown> <unknown> is lucky to be alive after his justin bieber <unknown> went off,agree,agree
213,6410,tv show tricks chronic <unknown> into harassing their own mothers     ,,peruvian show <unknown> at your mom takes the mothers of men with a history of,agree,agree
214,6411,syria teenage british jihadi from <unknown> killed in us airstrikes     ,,              ,agree,agree
215,6443,wife chops off cheating husbands penis twice then stray animal <unknown> it   ,out to see what was,staff rushed out to see what was happening and found the patient with blood streaming,agree,agree
216,6457,<unknown> it going teen wakes up during brain surgery      ,<number> was midway through the,<unknown> <unknown> <number> was midway through the procedure to have a <unknown> growth removed from,agree,agree
217,6472,apples beats music brand may go away apples beats music service is sticking around ,,original post apple is reportedly <unknown> down beats music just three months after picking the,agree,agree
218,6533,disgusting <unknown> <unknown> <unknown> <unknown> <unknown> sick selfie exposed last photo of comic icon when,,a staffer at manhattans <unknown> <unknown> clinic said the doctor who performed a <unknown> on,agree,agree
219,6604,wedding <unknown> when bride <unknown> guest instead after <unknown> <unknown> <unknown> fit   ,,a wedding <unknown> was sparked when a bride opted to marry a guest instead after,agree,agree
220,6607,justin bieber helps defend russian fisherman from bear       ,ordeal <unknown> 's phone which,during the ordeal <unknown> 's phone which has bieber 's baby as the <unknown> went,agree,agree
221,6620,fowler falls for fake website makes crazy claims about <unknown> star    ,,fowler reported a series of wrong facts about japanese <unknown> star <unknown> <unknown> including that,agree,agree
222,6641,evil aunt hacks off <unknown> penis         ,,evil <unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the,agree,agree
223,6659,ohio <unknown> teen <unknown> suicide leaves <unknown> note declaring theres no way out  ,,when i was <number> i learned what transgender meant and cried of happiness after <number>,agree,agree
224,6681,angry aunt who sliced off <unknown> <unknown> penis facing five years in jail  ,,evil <unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the,agree,agree
225,6706,teen wakes up <unknown> surgery and asks doctors <unknown> it going    ,went through this serious procedure,<unknown> <unknown> <number> went through this serious procedure at central clinical hospital in <unknown> <unknown>,agree,agree
226,6721,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,and an,under argentine law seventh children adopted by the president receive a gold medal and an,agree,agree
227,6739,when street <unknown> realize the women they 're <unknown> are their <unknown> in disguise ,,              ,agree,agree
228,6808,fisherman saved from deadly bear attack by his justin bieber <unknown>    ,,as the bear <unknown> him mr <unknown> mobile phone went off setting off his <unknown>,agree,agree
229,6819,<unknown> did not accuse bill <unknown> of <unknown> or rape its a hoax  ,,the post contains phony quotes from a purported lawyer for <unknown> including a fake press,agree,agree
230,6825,<unknown> <unknown> says <unknown> during brain surgery was no mistake     ,,she <unknown> on her facebook page that the operation was successful and there was nothing,agree,agree
231,6840,<unknown> confirms plan to split company         ,<number> on monday said it,<unknown> co <unknown> <number> on monday said it plans to separate its <unknown> and <unknown>,agree,agree
232,6847,new twist charlie hebdo police investigator turns up dead <unknown>     ,,the <unknown> was investigating the devastating terrorist attack at charlie hebdo magazine when he killed,agree,agree
233,6920,allegation bill <unknown> sexually molested <unknown> <unknown> are just a hoax    ,by rick <unknown> view all,<unknown> <unknown> photo by rick <unknown> view all <number> photos <unknown> <unknown> photo by <unknown>,agree,agree
234,7002,<unknown> girl wakes up during brain surgery asks doctors <unknown> it going   ,went through this serious procedure,<unknown> <unknown> <number> went through this serious procedure at central clinical hospital in <unknown> <unknown>,agree,agree
235,7094,teen <unknown> <unknown> wakes up during brain surgery asks how its going   ,,she <unknown> on her facebook page that the operation was successful and there was nothing,agree,agree
236,7117,china wife chops off cheating husband 's penis twice with scissors and throws it out,being taken to the hospital,but after being taken to the hospital where he had it sewn back on <unknown>,agree,agree
237,7162,a justin bieber <unknown> just saved a mans life who was being attacked by a,,a russian man was recently able to <unknown> off a bear attack with a justin,agree,agree
238,7181,miracle cat <unknown> its way out of its own grave five days after being buried,<unknown> cat after <unknown> his,a florida <unknown> has been dubbed a <unknown> cat after <unknown> his way out of,agree,agree
239,7347,kim jong-un loves cheese so much he 's ballooned in size and walks with limp,,the tubby tyrant is recovering from surgery after weight gain caused him to fracture his,agree,agree
240,7486,justin bieber helps defend russian fisherman from bear       ,after his justin bieber <unknown>,fisherman <unknown> <unknown> is lucky to be alive after his justin bieber <unknown> went off,agree,agree
241,7517,argentina 's president <unknown> young boy so he wo n't turn into <unknown>  ,,according to the real legend of the <unknown> or <unknown> it is only the seventh,disagree,disagree
242,7555,angry aunt who sliced off <unknown> <unknown> penis facing five years in jail  ,,<unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the toilet,agree,agree
243,7589,miracle cat <unknown> from the dead five days after burial     ,,the owner took the cat to the tampa bay humane society where <unknown> will have,agree,agree
244,7609,teenager wakes up while undergoing brain surgery in <unknown> and asks the surgeons how the,,the teen reports that she was happy to have gone through the operation because she,agree,agree
245,7615,argentina 's president <unknown> <unknown> <unknown> jewish <unknown> to prevent him turning into a <unknown>,,argentina 's president <unknown> <unknown> de <unknown> has a pretty solid plan for keeping her,agree,agree
246,7618,<unknown> <unknown> doctor denies selfie          ,,the statement disputes what a source close to the <unknown> death investigation told cnn that,agree,agree
247,7639,man saved from bear attack thanks to his justin bieber <unknown>    ,ordeal <unknown> 's phone which,during the ordeal <unknown> 's phone which has bieber 's baby as the <unknown> went,agree,agree
248,7647,<unknown> <unknown> brain surgery teen wakes up <unknown> on table chats about cat  ,also possible that the doctors,it was also possible that the doctors had given her the <unknown> incorrectly fox news,agree,agree
249,7689,a <unknown> girl gave this <unknown> letter to her teacher after he came out as,,this letter from a little girl in support of her gay teacher might bring a,agree,agree
250,7716,woman has third <unknown> <unknown>          ,,i do n't want to date anymore <unknown> <unknown> told orlando 's real radio <number>,agree,agree
251,7720,<unknown> president adopted a jewish <unknown> to stop him from turning into a <unknown> ,,earlier reports including one in upi explained that according to argentinian legend the seventh son,disagree,disagree
252,7726,man 's girlfriend <unknown> acid on his penis after he <unknown> recorded their sex session,,in the viral video that <unknown> has seen to verify the claims <unknown> is seen,agree,agree
253,7785,surgery patient wakes up asks <unknown> how 's it going     ,<number> was midway through the,<unknown> <unknown> <number> was midway through the procedure to have a <unknown> growth removed from,agree,agree
254,7850,<unknown> cat is getting gender assignment surgery        ,,she got another surprise soon after when she learned the female cat she wanted was,agree,agree
255,7857,transgender teenager <number> leaves <unknown> suicide note blaming her christian parents before walking in front,,the suicide note was posted on <unknown> 's <unknown> account through scheduled publishing just a,agree,agree
256,7893,justin bieber saves man from bear attack        ,,but then his cell phone started to ring and the bieber tone installed by his,agree,agree
257,7937,<unknown> <unknown> dead rumors not true         ,,              ,agree,agree
258,7947,the story of the <unknown> lady is as fake as her third <unknown>  ,,when asked about her surgery <unknown> simply said she had it done a few months,agree,agree
259,8007,girl poured acid on boyfriends penis after he released sex tape    ,,<unknown> <unknown> <number> used his laptop to film himself having sex with his <unknown> girlfriend,agree,agree
260,8010,scorpion <unknown> woman on <unknown> plane         ,,woman <unknown> by a scorpion on plane a woman was <unknown> by a scorpion on,agree,agree
261,8023,sandwich <unknown> gets comeuppance in this awesome office note saga     ,,we dont want to give too much away but lets just say the office <unknown>,agree,agree
262,8034,james foley 's mother appalled by us government handling of case    ,,              ,agree,agree
263,8036,third <unknown> likely a hoax          ,who reported that she added,the woman who reported that she added a third <unknown> was most likely lying ,agree,agree
264,8049,a justin bieber <unknown> just saved a mans life who was being attacked by a,after his justin bieber <unknown>,fisherman <unknown> <unknown> is lucky to be alive after his justin bieber <unknown> went off,agree,agree
265,8082,they 're fake woman who claims to have surgically <unknown> third <unknown> is a self-proclaimed,,              ,agree,agree
266,8096,<unknown> girl <unknown> touching letter to teacher who came out as gay   ,,the unidentified girl apparently wrote the letter to a primary school teacher after he used,agree,agree
267,8147,justin bieber <unknown> saved a russian fisherman during a bear attack    ,was besieged by a brown,<unknown> <unknown> was besieged by a brown bear on the way to his favourite fishing,agree,agree
268,8168,missing afghan soldiers apprehended trying to cross border into canada     ,,              ,agree,agree
269,8220,apple is going to shut down beats music       ,,apple is planning to <unknown> beats music the streaming music service that it acquired as,agree,agree
270,8271,hungry florida cat defies death digs its way out of grave to return home video,,this doesnt happen cats dont just come back to life not five days after theyve,agree,agree
271,8273,<unknown> woman a fake           ,it appears your total recall,sorry dudes it appears your total recall sex <unknown> have been temporarily sidelined  ,agree,agree
272,8279,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,,he was scheduled to undergo surgery tuesday to wire his <unknown> fix his <unknown> place,agree,agree
273,8294,argentine president takes on <unknown> but not to keep <unknown> at bay   ,,according to the real legend of the <unknown> or <unknown> it is only the seventh,agree,agree
274,8347,jilted wife chops off <unknown> <unknown> manhood twice       ,being taken to the hospital,but after being taken to the hospital where he had it sewn back on <unknown>,agree,agree
275,8468,argentina president <unknown> jewish <unknown> for first time in country 's history   ,children of catholic families until,the law only applied to the biological children of catholic families until the <unknown> of,agree,agree
276,8483,adopting potential <unknown> is routine business for argentine presidents      ,and so in <number> mr,but the ruling only applied to catholic families and so in <number> mr and mrs,agree,agree
277,8497,miracle cat <unknown> from the dead five days after burial     ,,i open the door and my neighbor 's standing there with the cat in her,agree,agree
278,8509,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,,president <unknown> <unknown> de <unknown> adopted <unknown> <unknown> as her <unknown> due to an argentine,agree,agree
279,8535,ferguson and hong <unknown> have one important thing in common     ,,what is happening in hong <unknown> is <unknown> for reasons this reader <unknown> surprising for,agree,agree
280,8560,man saved from bear attack thanks to his justin bieber <unknown>    ,fishing in northern russia was,a man fishing in northern russia was attacked by a bear but the bear fled,agree,agree
281,8593,justin bieber <unknown> off <unknown> bear and saves fisherman from a <unknown>   ,,<unknown> <unknown> mailonline <unknown> <unknown> id <number> title fisherman saved from bear attack by justin,agree,agree
282,8601,no the world 's oldest tree has not been accidentally cut down by <unknown> in,,fake news             ,agree,agree
283,8631,pregnant woman loses eye after police shoot bean bag at her    ,,<unknown> <unknown> was sitting in the passenger seat of the vehicle at a <unknown> gas,agree,agree
284,8648,jealous wife who chopped off husbands penis for cheating on her chops it off a,being taken to the hospital,but after being taken to the hospital where he had it sewn back on <unknown>,agree,agree
285,8732,<unknown> to split in <number> companies         ,,the firm is now in the fourth year of its five-year turnaround plan aimed at,agree,agree
286,8742,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,,earlier reports including one in upi explained that according to argentinian legend the seventh son,disagree,disagree
287,8771,<unknown> cat is getting gender assignment surgery        ,,though <unknown> says she would like another female cat the vet <unknown> that <unknown> be,agree,agree
288,8775,justin bieber <unknown> saves russian fisherman from bear attack      ,,a man was saved from a vicious bear attack thanks to his justin bieber <unknown>,agree,agree
289,8821,news read the touching letter this <unknown> girl sent her teacher after he came out,,even though youre gay i will always treat you the same way as i do,agree,agree
290,8827,transgender teen <unknown> <unknown> blames christian parents in <unknown> suicide note    ,,<unknown> <unknown> <number> stepped in front of a <unknown> trailer on a rural highway a,agree,agree
291,8853,<unknown> five-year-old billed for missing friends birthday party in england     ,,we did not have a contact number email or an address to let the boys,agree,agree
292,8881,<unknown> cat <unknown> way out of grave and into our hearts    ,is the cats owner and,<unknown> <unknown> is the cats owner and says <unknown> was hit by a vehicle and,agree,agree
293,8897,<unknown> expansion plan report is complete fabrication <unknown>       ,,but the commissioner said if it ever does prospective owners may have to pay up,agree,agree
294,8964,justin bieber 's baby saves man from violent bear attack     ,fishing in northern russia was,a man fishing in northern russia was attacked by a bear but the bear fled,agree,agree
295,8980,<unknown> aunt cuts off <unknown> penis after he bursts in on her on the toilet,,<unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the toilet,agree,agree
296,8981,<unknown> <unknown> doctor denies selfie          ,,according to tmz <unknown> <unknown> 's personal doctor <unknown> <unknown> has denied cnn 's allegations,agree,agree
297,9048,<unknown> cat to get gender assignment surgery        ,,<unknown> said she would prefer to have another female cat she already has a male,agree,agree
298,9094,<unknown> woman outed as fake by tampa police       ,,<unknown> artist the <unknown> woman calling herself <unknown> <unknown> has been exposed as a phony,agree,agree
299,9176,a peruvian tv show is <unknown> men into <unknown> their mothers for feminism  ,,peruvian show <unknown> at your mom takes the mothers of men with a history of,agree,agree
300,9210,<unknown> blasts fake report alleging she was abused by bill <unknown> keep me out of,by several women of sexual,<unknown> has been accused by several women of sexual assault over a few decades ,agree,agree
301,9242,saudi arabia set to introduce gender <unknown> on national airline flights    ,,              ,disagree,disagree
302,9243,woman faces jail time after slicing off <unknown> nephew 's penis    ,,evil <unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the,agree,agree
303,9279,<unknown> <unknown> files <unknown> charges against bill <unknown> is fake     ,,a parody website posted a story earlier this week claiming <unknown> was telling people <unknown>,agree,agree
304,9280,even though you 're gay i will always treat you the same way as i,,and now for a story that will warm you all the way down to your,agree,agree
305,9317,passenger tossed after flipping out over staffs merry christmas      ,,a passenger was tossed off a plane at la <unknown> airport on tuesday after flipping,agree,agree
306,9373,teen wakes up <unknown> surgery and asks doctors <unknown> it going    ,,she <unknown> on her facebook page that the operation was successful and there was nothing,agree,agree
307,9394,<unknown> writes moving letter to teacher who came out as gay to his class ,,the girl slipped the letter to the teacher shortly after the lesson and he claims,agree,agree
308,9598,<unknown> <unknown> doctor denies selfie          ,<number> say reports she took,sources close to the doctor <number> say reports she took photo are lies  ,agree,agree
309,9603,woman with three breasts was a fake who has tricked people online before  ,,              ,agree,agree
310,9632,<unknown> legend leads to jewish <unknown> 's adoption by argentina president    ,of el <unknown> <unknown> per,other fun <unknown> of el <unknown> <unknown> per the independent they feed on <unknown> <unknown>,agree,agree
311,9672,<unknown> girl wakes up during brain surgery asks doctors <unknown> it going   ,,she <unknown> on her facebook page that the operation was successful and there was nothing,agree,agree
312,9677,three <unknown> are most likely two <unknown> and a lie     ,,<unknown> has uncovered a stolen <unknown> report from the tampa international airport that lists a,agree,agree
313,9678,third <unknown> likely a hoax          ,,<unknown> who hopes to land a show on mtv says a film crew recorded her,agree,agree
314,9802,argentina 's president just adopted a son so he wo n't turn into a <unknown>,,however others like the guardian are debunking this reportedly the <unknown> custom goes back all,disagree,disagree
315,9831,hands up dont shoot comes to hong <unknown> <unknown> movement     ,,the protests were organized in part by the hong <unknown> <unknown> of students which has,agree,agree
316,9838,a justin bieber <unknown> just saved a mans life who was being attacked by a,,i couldnt believe my luck when the phone went off and he fled <unknown> said,agree,agree
317,9865,<unknown> aunt cuts off <unknown> penis after he bursts in on her on the toilet,,evil <unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the,agree,agree
318,9884,<unknown> the intersex cat to get gender assignment       ,,the cost <number> which a friend is helping the family raise <unknown> says it 's,agree,agree
319,9896,<unknown> spouse chops off unfaithful husband 's manhood twice      ,,<unknown> <unknown> fan lung <number> had used his wife 's mobile to send lover <unknown>,agree,agree
320,9909,wife chops off cheating husbands penis twice        ,,the <unknown> forgot to log out of his account after the message was sent which,agree,agree
321,9933,<unknown> cat to get gender assignment surgery        ,,and as for a fellow <unknown> last year a liverpool cat with both male and,agree,agree
322,9950,<unknown> <unknown> personal doctor denies taking <unknown> selfie       ,,according to tmz <unknown> <unknown> 's personal doctor <unknown> <unknown> has denied cnn 's allegations,agree,agree
323,10092,justin bieber <unknown> saved a russian fisherman during a bear attack    ,,<unknown> <unknown> mailonline <unknown> <unknown> id <number> title fisherman saved from bear attack by justin,agree,agree
324,10099,gender assignment surgery to be given to <unknown> cat      ,,and as for a fellow <unknown> last year a liverpool cat with both male and,agree,agree
325,10140,this is the most <unknown> office battle we ve ever seen    ,,              ,agree,agree
326,10177,<unknown> woman theyre not fake          ,,but now florida woman <unknown> <unknown> is facing claims that the surgery is a fake,disagree,disagree
327,10284,afghan soldiers found at canadian border         ,,              ,agree,agree
328,10296,man in china recovering in hospital after wife chopped off his penis   ,,the <unknown> forgot to log out of his account after the message was sent which,agree,agree
329,10298,saudi airline rep denies plan to separate men and women on flights   ,,according to an airline source quoted in stories claiming the opposite <unknown> airlines the state-run,agree,agree
330,10324,bieber <unknown> <unknown> bear saves man 's life       ,ordeal <unknown> 's phone which,during the ordeal <unknown> 's phone which has bieber 's baby as the <unknown> went,agree,agree
331,10357,woman gets third <unknown> to appear <unknown> to men      ,,<unknown> has aspirations to be a reality star and hopes to get a show on,agree,agree
332,10376,wife chopped her husband 's penis off after she discovered he had <unknown> on her,,<unknown> <unknown> fan lung <number> had used his wife 's mobile to send lover <unknown>,agree,agree
333,10378,the men caught <unknown> and wolf <unknown> their own mothers hilarious tv show <unknown> women,,              ,agree,agree
334,10401,argentina president <unknown> young jewish boy as <unknown> to prevent him from turning into <unknown>,the president of argentina adopted,reports that the president of argentina adopted a boy as her <unknown> to prevent him,disagree,disagree
335,10474,<unknown> <unknown> selfie doctor denies performing <unknown> and taking photo while star was under <unknown>,<unknown> personal throat doctor denies,cnn <unknown> <unknown> personal throat doctor denies performing an unauthorized procedure before the comedian suffered,agree,agree
336,10480,<unknown> president <unknown> jewish boy to save him from life as a <unknown>  ,,nope <unknown> president <unknown> <unknown> de <unknown> has not become <unknown> of a jewish baby,disagree,disagree
337,10516,<unknown> cat buried cat <unknown> way out of grave after being left for dead ,is the cats owner and,<unknown> <unknown> is the cats owner and says <unknown> was hit by a vehicle and,agree,agree
338,10590,this <unknown> cat returned home five days after being buried by its owner  ,,a cat in florida that was hit by a car and then buried is apparently,agree,agree
339,10628,<unknown> aunt cuts off <unknown> penis after he bursts in on her on the toilet,,<unknown> <unknown> from henan province in central china is said to have attacked the boy,agree,agree
340,10637,transgender teen <unknown> <unknown> <unknown> suicide by walking in front of semi truck blames christian,,the ohio transgender teen died during the early hours on sunday morning in warren county,agree,agree
341,10699,a justin bieber <unknown> just saved a mans life who was being attacked by a,,<unknown> may not be able to take orlando <unknown> in a bare <unknown> fight but,agree,agree
342,10703,south korean woman 's hair eaten by robot vacuum cleaner as she slept  ,,the startled <unknown> called <number> koreas emergency telephone number fortunately paramedics quickly arrived at the,agree,agree
343,10778,i never intended to kill his penis i was just angry <unknown> acid attack girl,intended to kill his penis,i never intended to kill his penis i was just angry and all i wanted,agree,agree
344,10882,a pregnant woman has lost her eye after being shot w bean bag in ferguson,,<unknown> has lost sight in her left eye and has blurry vision in the other,agree,agree
345,10998,the <unknown> was sick so the bride married a guest at her wedding in a,,meanwhile <unknown> who had been rushed to a doctor by his relatives went back to,agree,agree
346,11001,cruel aunt cuts her <unknown> nephew 's penis off because he burst in on her,,<unknown> <unknown> from henan province in central china is said to have attacked the boy,agree,agree
347,11049,this campaign shows a pretty genius way to stop men <unknown> in the street ,,as such its staged but anyway the video purports to show how some men who,agree,agree
348,11075,<unknown> cat buried <unknown> believed dead <unknown> back to life     ,,a cat in florida that was hit by a car and then buried is apparently,agree,agree
349,11093,argentina president <unknown> jewish <unknown> for first time in country 's history   ,,there 's apparently an obscure bit of argentinian <unknown> that states the seventh son born,agree,agree
350,11145,argentina 's president <unknown> jewish boy to keep him from turning into a <unknown> ,,earlier reports including one in upi explained that according to argentinian legend the seventh son,disagree,disagree
351,11157,wife chops off cheating husbands penis twice        ,being taken to the hospital,but after being taken to the hospital where he had it sewn back on <unknown>,agree,agree
352,11169,justin bieber <unknown> saves russian man from bear attack      ,bear <unknown> <unknown> face and,but as the bear <unknown> <unknown> face and back his mobile phone rang the <unknown>,agree,agree
353,11188,children used to replace fighting dogs         ,,south african police have been accused of not doing enough to crack down on a,agree,agree
354,11189,bieber <unknown> <unknown> bear saves man 's life       ,fishing in northern russia was,a man fishing in northern russia was attacked by a bear but the bear fled,agree,agree
355,11212,woman who claimed to have surgery to add third <unknown> exposed as hoaxer  ,,              ,agree,agree
356,11277,argentina president <unknown> young jewish boy as <unknown> to prevent him from turning into <unknown>,,the president of argentina has adopted a young jewish man as her <unknown> to stop,agree,agree
357,11279,missing <unknown> soldiers found trying to cross us border to canada    ,,              ,agree,agree
358,11319,disgusting <unknown> <unknown> <unknown> <unknown> <unknown> sick selfie exposed last photo of comic icon when,meanwhile <unknown> daughter <unknown> has,meanwhile <unknown> daughter <unknown> has been telling friends that she is a <unknown> monster the,agree,agree
359,11366,<unknown> legend leads to jewish <unknown> 's adoption by argentina president    ,,the president of argentina <unknown> <unknown> de <unknown> has adopted a jewish <unknown> to prevent,agree,agree
360,11430,teen wakes up during brain surgery asks how its going     ,,<unknown> <unknown> allegedly didnt appear to wake up in pain and didnt sound panicked or,agree,agree
361,11445,jealous wife who chopped off husbands penis for cheating on her chops it off a,,angry feng later discovered the steamy message as well as several others on her smartphone,agree,agree
362,11459,no michael jackson isnt bruno mars dad        ,,in a statement released by mars new publicist <unknown> <unknown> it has been announced that,disagree,disagree
363,11486,this <unknown> cat returned home five days after being buried by its owner  ,,i open the door and my neighbor 's standing there with the cat in her,agree,agree
364,11513,<unknown> aunt cuts off <unknown> penis after he bursts in on her on the toilet,,<unknown> <unknown> <number> was sending text messages to her boyfriend while sitting on the toilet,agree,agree
365,11522,transgender teen <unknown> <unknown> <unknown> suicide by walking in front of semi truck blames christian,,even if you are christian or are against transgender people dont ever say that to,agree,agree
366,11546,argentina 's president just adopted a son so he wo n't turn into a <unknown>,,argentina 's president <unknown> <unknown> de <unknown> has a pretty solid plan for keeping her,agree,agree
367,11565,transgender teenager <number> leaves <unknown> suicide note blaming her christian parents before walking in front,,she says that she identified as a girl from the age of four and that,agree,agree
368,11629,woman cuts off husband 's penis twice after catching him cheating    ,being taken to the hospital,but after being taken to the hospital where he had it sewn back on <unknown>,agree,agree
369,11642,<unknown> spouse chops off unfaithful husband 's manhood twice      ,send the <unknown> messages to,fan lung <number> used feng 's phone to send the <unknown> messages to <unknown> hung,agree,agree
370,11656,fake lisa <unknown> tweet on <unknown> scandal fools major media outlets    ,was retweeted over <number> times,the tweet was retweeted over <number> times was picked up by page six fox news,agree,agree
371,11754,robot vacuum cleaner <unknown> woman          ,,the woman whose name is being withheld was taking a nap on the floor at,agree,agree
372,11758,us <unknown> video showing <unknown> 's beheading        ,,an islamic radical group released a video on tuesday that purportedly shows the beheading of,agree,agree
373,11767,apple to shut down beats music not so apple says     ,,              ,agree,agree
374,11789,a pregnant woman has lost her eye after being shot w bean bag in ferguson,,<unknown> 's boyfriend <unknown> lee was reportedly driving the car out of the gas station,agree,agree
375,11802,<unknown> girl <unknown> touching letter to teacher who came out as gay   ,,              ,agree,agree
376,11803,pregnant ferguson woman loses her eye after police shoot her car with bean bag during,,thanks to all my facebook friends for your support she wrote wednesday on facebook im,agree,agree
377,11850,china penis <unknown> cruel aunt <unknown> <unknown> <unknown> 's genitals as punishment   ,,unfortunately the knife was quite <unknown> and the cut was n't clean so although we,agree,agree
378,11921,school pupil writes moving letter to her teacher after he comes out as gay ,,a teacher has shared a touching note he received from a <unknown> student after he,agree,agree
379,11924,even though you 're gay i will always treat you the same way as i,,the unidentified girl apparently wrote the letter to a primary school teacher after he used,agree,agree
380,11931,<unknown> it going teen wakes up during brain surgery      ,,doctors say her brain was exposed at the time <unknown> professor <unknown> <unknown> said despite,agree,agree
381,11942,these men freak out when they discover the women they are harassing are their <unknown>,what 's the matter with,what 's the matter with you <unknown> what they told about you was true that,agree,agree
382,11952,scorpion <unknown> woman on <unknown> plane         ,,as for the woman she was treated by medical personnel for a <unknown> on the,agree,agree
383,11982,isis militants just <number> <unknown> from baghdad as fierce fighting reported near iraqi capital ,,islamic state militants took over the control of mosul the second-largest city in iraq massive,agree,agree
384,12053,justin bieber <unknown> <unknown> bear saves russian fisherman       ,,<unknown> <unknown> mailonline <unknown> <unknown> id <number> title fisherman saved from bear attack by justin,agree,agree
385,12075,<unknown> <unknown> found dead but still makes it to family movie night   ,,as of <number> pm pst the <unknown> <unknown> <unknown> story had over <number> facebook shares,agree,agree
386,12087,justin bieber helps defend russian fisherman from bear       ,bear <unknown> <unknown> face and,but as the bear <unknown> <unknown> face and back his mobile phone rang the <unknown>,agree,agree
387,12125,this campaign shows a pretty genius way to stop men <unknown> in the street ,,a peruvian public service announcement making the rounds today captured two men sexually harassing women,agree,agree
388,12157,parents billed <number> for a <unknown> fee after five-year-old son misses birthday party  ,,the latest <unknown> <unknown> missing a birthday party or sending an <unknown> to the absent,agree,agree
389,12171,woman <unknown> by scorpion on alaska airlines flight       ,,an airline spokesman said that the plane returned to the gate and the woman received,agree,agree
390,12222,<unknown> president <unknown> jewish <unknown> to <unknown> <unknown> legend      ,,under argentine legend which reportedly originated in <unknown> russia any seventh <unknown> son will grow,agree,agree
391,12245,teenager wakes up while undergoing brain surgery in <unknown> and asks the surgeons how the,,brain surgery recovery can be a <unknown> but not everybody wakes up in the middle,agree,agree
392,12317,woman who claimed to have surgery to add third <unknown> exposed as hoaxer  ,,this is <unknown> 's second run-in with viral fame back in december <number> she made,agree,agree
393,12384,<unknown> president adopted a jewish <unknown> to stop him from turning into a <unknown> ,last few days sources have,over the last few days sources have been reporting that this argentinian custom was adopted,disagree,disagree
394,12393,rise of the <unknown> cat pet who was killed and buried by his owner climbed,cat pictured above has had,the <unknown> hell cat pictured above has had a shitty week first the <unknown> <unknown>,agree,agree
395,12426,scorpion <unknown> delays oregon state flight         ,,los angeles cbs <unknown> a scorpion <unknown> a woman on the hand just before her,agree,agree
396,12434,this <unknown> cat returned home five days after being buried by its owner  ,cat pictured above has had,the <unknown> hell cat pictured above has had a shitty week first the <unknown> <unknown>,agree,agree
397,12461,<unknown> <unknown> selfie doctor denies performing <unknown> and taking photo while star was under <unknown>,<number> say reports she took,sources close to the doctor <number> say reports she took photo are lies  ,agree,agree
398,12489,dear sandwich <unknown> man 's hilarious response to <unknown> sign posted on his office 's,,what starts as a simple request to the turkey and swiss on <unknown> owner to,agree,agree
399,12498,<unknown> cat is getting gender assignment surgery        ,,<unknown> an ordinary cat with an incredibly ordinary name is a <unknown> whose owner will,agree,agree
400,12624,teen <unknown> <unknown> wakes up during brain surgery asks how its going   ,,after her successful brain surgery recovery <unknown> told the daily mail about the experience ,agree,agree
401,12637,<unknown> girl <unknown> acid on boyfriends penis after he leaked their sex tape  ,,the girl whose name is known to african eye news service <unknown> but can not,agree,agree
